time/ms,height/mm,area*0.85*sqrt(2)
0,0,0
0.01,1.23E-06,1.84E-06
0.02,1.97E-05,2.95E-05
0.03,9.99E-05,0.00014943
0.04,0.00031581,0.00047225
0.05,0.00077096,0.0011529
0.06,0.0015984,0.0023904
0.07,0.0029607,0.004428
0.08,0.005049,0.0075523
0.09,0.0080834,0.012094
0.1,0.012312,0.018425
0.11,0.018008,0.026959
0.12,0.025473,0.038152
0.13,0.035029,0.052496
0.14,0.047021,0.070521
0.15,0.061809,0.092787
0.16,0.079768,0.11988
0.17,0.10128,0.15242
0.18,0.12674,0.19104
0.19,0.15651,0.23635
0.2,0.19098,0.28903
0.21,0.23049,0.34969
0.22,0.27535,0.41892
0.23,0.32583,0.49728
0.24,0.38214,0.58526
0.25,0.44443,0.68328
0.26,0.51275,0.79164
0.27,0.58705,0.91048
0.28,0.66718,1.0398
0.29,0.75283,1.1794
0.3,0.84357,1.3288
0.31,0.93878,1.4873
0.32,1.0377,1.6537
0.33,1.1393,1.8266
0.34,1.2426,1.8505
0.35,1.3461,1.8505
0.36,1.4484,1.8505
0.37,1.5477,1.8505
0.38,1.6423,1.8505
0.39,1.73,1.8505
0.4,1.809,1.8505
0.41,1.8771,1.8505
0.42,1.9321,1.8505
0.43,1.972,1.8505
0.44,1.995,1.8505
0.45,2,1.8505
2,2,1.8505
2.01,1.9942,1.8505
2.02,1.9704,1.8505
2.03,1.9296,1.8505
2.04,1.8739,1.8505
2.05,1.8052,1.8505
2.06,1.7258,1.8505
2.07,1.6376,1.8505
2.08,1.5427,1.8505
2.09,1.4432,1.8505
2.1,1.3409,1.8505
2.11,1.2373,1.8505
2.12,1.1341,1.8177
2.13,1.0326,1.6451
2.14,0.93382,1.479
2.15,0.83882,1.321
2.16,0.74833,1.172
2.17,0.66296,1.033
2.18,0.58312,0.90417
2.19,0.50912,0.78586
2.2,0.44111,0.67804
2.21,0.37912,0.58052
2.22,0.32311,0.49305
2.23,0.27292,0.41516
2.24,0.22835,0.3464
2.25,0.18911,0.28617
2.26,0.15488,0.23387
2.27,0.12534,0.18891
2.28,0.10009,0.15062
2.29,0.078769,0.11837
2.3,0.060981,0.091539
2.31,0.046344,0.069503
2.32,0.034486,0.051681
2.33,0.025044,0.037508
2.34,0.017677,0.026463
2.35,0.012063,0.018052
2.36,0.0079019,0.011822
2.37,0.0049215,0.0073615
2.38,0.0028753,0.0043003
2.39,0.0015448,0.0023102
2.4,0.00073997,0.0011065
2.41,0.0003,0.00044861
2.42,9.33E-05,0.00013952
2.43,1.78E-05,2.66E-05
2.44,1.00E-06,1.50E-06
2.45,0,0
